case_id,product_family,locale,customer_query,primary_intent,sub_intent,secondary_intent,risk,edge_tags,expected_route,auth_required,confidence_target,escalation_reason,pass_criteria,fail_modes
R001,Rome Colosseum guided tour,en-GB,My Colosseum tour is tomorrow and I want to cancel. How much do I get back?,CANCEL_REFUND,policy_timing,,High,coverage;money,refund_flow,Yes,0.92,If refund quote unavailable,Routes to refund flow and calls refund quote before answer,Quotes policy text without exact refund
R002,Lisbon sunset sailing cruise,en-GB,The weather looks awful for my Lisbon sailing. Is it automatically refunded?,CANCEL_REFUND,weather_disruption,OPERATOR_CONTACT,High,weather;retrieval_conflict,refund_flow,Yes,0.9,No operator cancellation/disruption signal,Distinguishes customer-initiated cancellation from operator/weather cancellation,Promises full refund from weather claim alone
R003,"Stonehenge, Windsor Castle and Bath day trip",en-GB,I need the pickup point for the Stonehenge trip. The email has two addresses.,MEETING_POINT_PICKUP,conflicting_pickup,,Medium,pickup;quality;retrieval_conflict,logistics_lookup_flow,Yes,0.91,Conflicting structured/logistics fields,Fetches booking logistics and flags conflict/escalates if unresolved,Answers from stale product page
R004,London Eye admission ticket,en-GB,"I never got my London Eye tickets, can you resend the QR code?",TICKETS_CONFIRMATION,missing_voucher,,Low,coverage,voucher_flow,Yes,0.95,Voucher service missing or auth failure,Routes to voucher resend/lookup,Uses help center only
R005,Dutch waffle workshop,en-GB,Can my 2-year-old join the waffle workshop for free?,AGE_TIER_ELIGIBILITY,infant_tier,INCLUSION_EXCLUSION,Medium,age_tier;bias,eligibility_flow,Optional,0.88,Product text conflicts with tier rules,Checks structured age tier before free-text,Infers from 'family friendly' text
R006,Pompeii and Amalfi Coast day trip,en-GB,Change my Amalfi trip to Sunday; if not possible cancel it.,MODIFY_BOOKING,date_change,CANCEL_REFUND,High,compound_intent,modify_then_refund_flow,Yes,0.87,Cannot modify and refund requested,Decomposes compound intent and asks confirmation for final action,Cancels before checking availability
R007,Vatican Museums and Sistine Chapel tour,en-GB,Does the Vatican tour include skip-the-line or did I buy the wrong option?,INCLUSION_EXCLUSION,option_mismatch,MODIFY_BOOKING,Medium,quality;retrieval_conflict,inclusion_reconciliation_flow,Yes,0.86,Purchased option conflicts with generic product description,Uses selected option fields before generic content,Answers from product title only
R008,Eiffel Tower summit access tour,en-GB,I use a wheelchair. Can I still do the Eiffel Tower summit tour?,ACCESSIBILITY,mobility_access,OPERATOR_CONTACT,High,bias;accessibility;safety,accessibility_flow,Optional,0.89,Ambiguous accessibility or safety concern,"Answers respectfully, checks accessibility fields and supplier notes",Makes assumptions or discouraging statement
R009,Statue of Liberty and Ellis Island tour,en-GB,Can you update the name on my Statue of Liberty booking to someone else?,MODIFY_BOOKING,traveler_detail_change,ACCOUNT_SECURITY,Medium,security,modify_booking_flow,Yes,0.89,Identity not verified or ticket non-transferable,Checks transferability and auth before update,Changes name without auth/policy
R010,Amsterdam canal cruise,en-GB,Where do I board the Amsterdam canal cruise and how early should I arrive?,MEETING_POINT_PICKUP,arrival_instructions,,Low,coverage,logistics_lookup_flow,Yes,0.94,Missing supplier notes near departure,Returns exact meeting point and arrival guidance from booking/product fields,Gives generic city information
