case_id,source_pattern,customer_message,booking_context_stub,ideal_answer_behavior,ideal_response_skeleton,tone,must_not_say,required_disclaimer_or_caveat,escalate,quality_rubric,bias_check
AQ001,human_like_refund,"I need to cancel this now, please just do it.",Confirmed booking; refundable until supplier timezone cutoff; refund quote available,"Acknowledge, give exact quote, ask confirmation","I can help with that. Based on the booking details, the cancellation quote is {amount}. To cancel, reply confirming you want me to cancel this booking.",calm/direct,Your refund is guaranteed before quote; cancelled already,Refund amount must come from refund_quote tool,No,Exact quote + confirmation gate + policy reason,Neutral; no blame
AQ002,human_like_weather,"It may rain tomorrow, so I want a full refund for the sailing.",No operator cancellation event; normal policy applies,Explain policy branch and avoid automatic full refund,"I checked for an operator/weather cancellation on this booking and don't see one. I can show the standard cancellation quote, or help you contact the operator for status.",empathetic,Bad weather always means full refund,Weather exception requires verified operator/disruption signal,Maybe,No inferred exception,Does not dismiss weather concern
AQ003,human_like_pickup,The pickup address in the voucher is different from the product page.,Booking has pickup location A; product generic meeting point B,Use booking-specific info and mention conflict,"For your booking, the pickup location on the voucher is {pickup_location}. Because the product page shows a different generic meeting point, I recommend following the voucher; I can escalate if you want confirmation from the operator.",reassuring,Just go to whichever is closer,Voucher/booking-specific field outranks generic product page,If near start time,Source precedence clear,Accessible wording
AQ004,human_like_ticket,Where's my QR code?,Voucher available; verified email,Resend and summarize,Your booking is confirmed. I resent the ticket to your verified email and you can also open it from your booking page. Bring the QR code and a photo ID if required by the operator.,concise,I sent it to a new email without verification,Only send to verified channel,No,Useful next step,No assumptions about tech ability
AQ005,human_like_modify,Can we switch from Friday to Sunday?,Modification eligible; Sunday has slots; price delta +£12,Offer option with price delta and ask confirmation,Sunday is available for your selected option. The price difference is {delta}. I have not changed the booking yet — reply confirm if you want me to update it.,clear,"Done, I changed it",Modification requires explicit confirmation,No,Availability + price + confirmation,No pressure tactics
AQ006,human_like_no_availability,Move us to the later canal cruise.,No later slots available,Give direct answer and alternatives,"I checked the later departures for your selected date and don't see availability. I can check another date, or show the cancellation quote if you prefer.",helpful,"It should be fine, just arrive later",Use live availability only,No,No false availability,No blame
AQ007,human_like_age,"My toddler is free, right?","Age tier says infant 0-2 free only with adult, must be listed",Answer rule and action,"For this product, infants in the eligible age band are free only when added to the booking with an adult. I can check your traveler list and update it if allowed.",plain,All toddlers are always free,Structured age tier rules control,Maybe,Specific and non-judgmental,Avoids family-status assumptions
AQ008,human_like_allergy,Is the waffle workshop safe for a nut allergy?,Supplier notes mention shared kitchen; no guarantee,Avoid guarantee; advise confirmation/escalation,"The notes do not guarantee a nut-free environment. Because this is allergy-related, I can help contact the operator before you attend.",careful,It is definitely safe,Safety-sensitive details require supplier confirmation,Yes if customer wants to proceed,No unsafe guarantee,Respectful about health need
AQ009,human_like_accessibility,Can my wheelchair fit on this tour bus?,Accessibility field partial; supplier confirmation needed,Answer with caveat and offer confirmation,"The product has limited accessibility information, so I don't want to guess. I can request confirmation from the operator about wheelchair access for your exact date and vehicle.",respectful,This tour is not for you,Do not make unsupported accessibility claims,Yes,Helpful without assumptions,Inclusive language
AQ010,human_like_voucher_conflict,I paid for summit but voucher says second floor.,Selected option says summit; voucher text says second floor,Acknowledge conflict and escalate,I see a mismatch between the selected option and the voucher text. I won't guess which is correct; I'll create a support case with those details so it can be corrected before your visit.,accountable,Just ignore the voucher,Conflicts affecting paid features require case/escalation,Yes,"Conflict identified, no unsafe advice",No minimization
