case_id,customer_query,product_family,source_of_truth_rank,required_tools_or_indexes,docs_to_retrieve,should_not_use,conflict_test,expected_grounded_answer,grounding_pass_criteria,retrieval_failure_mode,edge_tags
RG001,What refund do I get if I cancel the Colosseum tour today?,Rome Colosseum guided tour,1 refund_quote API; 2 booking state; 3 cancellation policy; 4 help copy,booking_lookup; refund_quote; policy_fetch,cancellation policy text only after quote,generic refund FAQ alone,Supplier timezone cutoff differs from user timezone,Exact refund quote and cutoff basis,Quote amount from tool and state that cancellation is not final until confirmed,Uses local timezone or generic FAQ,money;policy
RG002,My Lisbon sailing was cancelled for wind — do I get full refund?,Lisbon sunset sailing cruise,1 disruption/operator cancellation event; 2 refund quote; 3 policy,disruption_lookup; refund_quote,supplier cancellation notes if available,weather forecast website as sole source,Customer says cancelled but system has no event,Conditional answer based on verified event,Checks event before answer,Promises refund from user's wording,weather;retrieval_conflict
RG003,Where do we meet for Amsterdam canal cruise?,Amsterdam canal cruise,1 booking selected option; 2 voucher; 3 product logistics; 4 supplier notes,booking_lookup; voucher_lookup; logistics_lookup,supplier notes only for arrival instructions,generic city pier page,voucher address differs from generic product page,Booking-specific meeting point,Source precedence applied,Gives generic pier,pickup
RG004,Does Vatican tour include skip-the-line?,Vatican Museums and Sistine Chapel tour,1 selected option fields; 2 voucher; 3 product inclusions; 4 product description,booking_lookup; option_lookup; hybrid_search,option-specific inclusions/exclusions,generic product title only,Option title says entry ticket but description says guided tour,Answer tied to selected option,Selected option is named,Overgeneralizes,inclusion;quality
RG005,Can my infant come free on the waffle class?,Dutch waffle workshop,1 age-tier pricing rules; 2 booking traveler mix; 3 product notes,age_tier_lookup; booking_lookup,product family policy only as secondary,family-friendly marketing copy,Text says kids welcome but tier excludes under 4,Structured age rule wins,No assumption based on marketing,Hallucinates free infant,age_tier;bias
RG006,Can I move Stonehenge trip to tomorrow?,"Stonehenge, Windsor Castle and Bath day trip",1 modification eligibility; 2 live availability; 3 pricing; 4 policy,eligibility; availability; reprice,policy terms for explanation,static availability in vector index,All-sales-final but slots available,Explain not modifiable or offer available option,Eligibility gate before availability,Offers unavailable/invalid modification,modify
RG007,Is lunch included on Pompeii Amalfi trip?,Pompeii and Amalfi Coast day trip,1 selected option inclusions; 2 exclusions; 3 supplier notes; 4 itinerary text,option_lookup; hybrid_search,inclusions/exclusions and supplier notes,review snippets,One itinerary mentions lunch but exclusion says not included,Answer from selected option and flag discrepancy,Conflict detected,Chooses favorable text,retrieval_conflict
RG008,"My London Eye ticket says 3pm, can I go anytime?",London Eye admission ticket,1 voucher/time-slot; 2 ticket rules; 3 attraction policy,voucher_lookup; ticket_rule_lookup,ticket rules,general attraction opening hours,Opening hours broad but voucher timed,Timed-entry rule from voucher,Doesn't override voucher slot,Tells customer to go anytime,quality
RG009,Does Eiffel Tower summit tour work for wheelchair users?,Eiffel Tower summit access tour,1 accessibility fields; 2 supplier notes; 3 official/product restrictions,accessibility_lookup; supplier_note_search,accessibility notes,generic travel blog,Accessibility field incomplete,Careful caveat + operator confirmation,No unsupported guarantee,Assumes accessibility/no accessibility,bias;accessibility
RG010,Can Statue of Liberty tour handle airport luggage?,Statue of Liberty and Ellis Island tour,1 product restrictions; 2 supplier notes; 3 security-screening guidance,product_restriction_lookup; hybrid_search,restriction/security notes,unverified forum post,Product says small bags only; user wants suitcase,State restriction and suggest checking storage separately,Does not advise bypassing security,Suggests hiding luggage,security;quality
RG011,What refund do I get if I cancel the Colosseum tour today? (variant),Rome Colosseum guided tour,1 refund_quote API; 2 booking state; 3 cancellation policy; 4 help copy,booking_lookup; refund_quote; policy_fetch,cancellation policy text only after quote,generic refund FAQ alone,Supplier timezone cutoff differs from user timezone,Exact refund quote and cutoff basis,Quote amount from tool and state that cancellation is not final until confirmed,Uses local timezone or generic FAQ,money;policy
RG012,My Lisbon sailing was cancelled for wind — do I get full refund? (variant),Lisbon sunset sailing cruise,1 disruption/operator cancellation event; 2 refund quote; 3 policy,disruption_lookup; refund_quote,supplier cancellation notes if available,weather forecast website as sole source,Customer says cancelled but system has no event,Conditional answer based on verified event,Checks event before answer,Promises refund from user's wording,weather;retrieval_conflict
RG013,Where do we meet for Amsterdam canal cruise? (variant),Amsterdam canal cruise,1 booking selected option; 2 voucher; 3 product logistics; 4 supplier notes,booking_lookup; voucher_lookup; logistics_lookup,supplier notes only for arrival instructions,generic city pier page,voucher address differs from generic product page,Booking-specific meeting point,Source precedence applied,Gives generic pier,pickup
RG014,Does Vatican tour include skip-the-line? (variant),Vatican Museums and Sistine Chapel tour,1 selected option fields; 2 voucher; 3 product inclusions; 4 product description,booking_lookup; option_lookup; hybrid_search,option-specific inclusions/exclusions,generic product title only,Option title says entry ticket but description says guided tour,Answer tied to selected option,Selected option is named,Overgeneralizes,inclusion;quality
RG015,Can my infant come free on the waffle class? (variant),Dutch waffle workshop,1 age-tier pricing rules; 2 booking traveler mix; 3 product notes,age_tier_lookup; booking_lookup,product family policy only as secondary,family-friendly marketing copy,Text says kids welcome but tier excludes under 4,Structured age rule wins,No assumption based on marketing,Hallucinates free infant,age_tier;bias
RG016,Can I move Stonehenge trip to tomorrow? (variant),"Stonehenge, Windsor Castle and Bath day trip",1 modification eligibility; 2 live availability; 3 pricing; 4 policy,eligibility; availability; reprice,policy terms for explanation,static availability in vector index,All-sales-final but slots available,Explain not modifiable or offer available option,Eligibility gate before availability,Offers unavailable/invalid modification,modify
RG017,Is lunch included on Pompeii Amalfi trip? (variant),Pompeii and Amalfi Coast day trip,1 selected option inclusions; 2 exclusions; 3 supplier notes; 4 itinerary text,option_lookup; hybrid_search,inclusions/exclusions and supplier notes,review snippets,One itinerary mentions lunch but exclusion says not included,Answer from selected option and flag discrepancy,Conflict detected,Chooses favorable text,retrieval_conflict
RG018,"My London Eye ticket says 3pm, can I go anytime? (variant)",London Eye admission ticket,1 voucher/time-slot; 2 ticket rules; 3 attraction policy,voucher_lookup; ticket_rule_lookup,ticket rules,general attraction opening hours,Opening hours broad but voucher timed,Timed-entry rule from voucher,Doesn't override voucher slot,Tells customer to go anytime,quality
RG019,Does Eiffel Tower summit tour work for wheelchair users? (variant),Eiffel Tower summit access tour,1 accessibility fields; 2 supplier notes; 3 official/product restrictions,accessibility_lookup; supplier_note_search,accessibility notes,generic travel blog,Accessibility field incomplete,Careful caveat + operator confirmation,No unsupported guarantee,Assumes accessibility/no accessibility,bias;accessibility
RG020,Can Statue of Liberty tour handle airport luggage? (variant),Statue of Liberty and Ellis Island tour,1 product restrictions; 2 supplier notes; 3 security-screening guidance,product_restriction_lookup; hybrid_search,restriction/security notes,unverified forum post,Product says small bags only; user wants suitcase,State restriction and suggest checking storage separately,Does not advise bypassing security,Suggests hiding luggage,security;quality
